iter	Passed	Remaining
0	234	234008
1	236	117890
2	237	79014
3	239	59545
4	240	47905
5	242	40144
6	243	34588
7	245	30421
8	247	27199
9	248	24609
10	250	22527
11	254	20991
12	257	19540
13	263	18523
14	267	17562
15	269	16581
16	271	15687
17	272	14892
18	275	14211
19	277	13599
20	279	13026
21	281	12535
22	287	12210
23	289	11780
24	292	11410
25	295	11060
26	297	10713
27	299	10394
28	301	10095
29	303	9802
30	307	9617
31	309	9360
32	311	9123
33	313	8907
34	315	8687
35	317	8490
36	320	8332
37	321	8148
38	324	7996
39	326	7825
40	327	7663
41	333	7614
42	335	7467
43	337	7342
44	339	7210
45	341	7082
46	345	7011
47	347	6899
48	349	6788
49	351	6681
50	353	6581
51	355	6477
52	360	6435
53	362	6344
54	364	6259
55	366	6171
56	368	6088
57	371	6032
58	373	5958
59	375	5881
60	377	5813
61	379	5746
62	381	5673
63	385	5644
64	387	5580
65	389	5515
66	392	5462
67	393	5393
68	395	5332
69	398	5290
70	400	5239
71	402	5189
72	404	5136
73	406	5085
74	410	5062
75	412	5016
76	415	4982
77	417	4931
78	419	4890
79	423	4866
80	425	4823
81	427	4791
82	429	4747
83	431	4709
84	433	4665
85	436	4642
86	438	4605
87	440	4567
88	442	4529
89	444	4494
90	446	4457
91	448	4428
92	450	4396
93	452	4364
94	454	4328
95	456	4295
96	461	4292
97	462	4259
98	466	4241
99	467	4210
100	469	4178
101	474	4174
102	475	4144
103	478	4124
104	480	4094
105	481	4064
106	483	4036
107	485	4008
108	487	3981
109	489	3958
110	490	3931
111	492	3904
112	499	3924
113	501	3896
114	503	3871
115	504	3843
116	507	3828
117	509	3810
118	511	3784
119	512	3760
120	514	3739
121	516	3715
122	517	3688
123	519	3668
124	523	3663
125	525	3642
126	527	3628
127	529	3604
128	530	3584
129	535	3580
130	537	3564
131	539	3549
132	541	3531
133	543	3513
134	545	3493
135	548	3486
136	552	3480
137	554	3463
138	557	3451
139	560	3442
140	563	3430
141	564	3412
142	566	3394
143	568	3379
144	570	3361
145	572	3348
146	574	3335
147	576	3318
148	578	3304
149	580	3290
150	582	3273
151	586	3273
152	588	3259
153	590	3244
154	594	3239
155	601	3256
156	603	3240
157	605	3225
158	606	3209
159	609	3197
160	612	3190
161	614	3179
162	616	3164
163	617	3149
164	619	3137
165	623	3130
166	626	3125
167	628	3112
168	630	3102
169	632	3089
170	636	3087
171	639	3077
172	641	3065
173	642	3051
174	644	3038
175	648	3035
176	651	3027
177	654	3020
178	655	3007
179	657	2994
180	659	2986
181	662	2979
182	666	2976
183	668	2964
184	670	2952
185	672	2943
186	675	2935
187	678	2932
188	681	2923
189	683	2913
190	684	2900
191	686	2891
192	688	2880
193	691	2872
194	693	2863
195	695	2851
196	696	2840
197	701	2839
198	703	2829
199	704	2819
200	708	2816
201	711	2810
202	715	2810
203	719	2807
204	721	2799
205	726	2800
206	733	2811
207	735	2800
208	740	2801
209	742	2791
210	746	2792
211	752	2798
212	754	2787
213	757	2780
214	760	2778
215	762	2767
216	765	2763
217	769	2760
218	771	2750
219	774	2744
220	776	2738
221	778	2729
222	780	2720
223	782	2712
224	787	2712
225	789	2705
226	794	2704
227	796	2697
228	800	2695
229	803	2690
230	807	2689
231	810	2683
232	818	2693
233	820	2686
234	823	2680
235	825	2673
236	832	2681
237	835	2675
238	837	2666
239	838	2656
240	841	2650
241	843	2642
242	845	2635
243	847	2625
244	849	2618
245	854	2620
246	857	2612
247	858	2603
248	860	2594
249	911	2735
250	913	2727
251	918	2727
252	921	2721
253	924	2714
254	926	2707
255	929	2700
256	932	2695
257	935	2689
258	937	2680
259	940	2676
260	943	2671
261	944	2661
262	946	2652
263	948	2643
264	950	2635
265	953	2630
266	956	2624
267	957	2616
268	959	2607
269	961	2598
270	963	2592
271	966	2587
272	969	2582
273	971	2573
274	972	2564
275	975	2558
276	979	2557
277	982	2552
278	984	2543
279	985	2535
280	988	2528
281	990	2521
282	994	2520
283	996	2512
284	998	2503
285	1000	2497
286	1001	2489
287	1004	2483
288	1007	2478
289	1009	2470
290	1010	2462
291	1013	2457
292	1015	2449
293	1018	2446
294	1021	2442
295	1023	2434
296	1025	2427
297	1026	2419
298	1029	2414
299	1032	2408
300	1034	2403
301	1037	2398
302	1039	2390
303	1040	2382
304	1044	2381
305	1047	2375
306	1048	2367
307	1051	2362
308	1053	2355
309	1055	2348
310	1058	2344
311	1060	2337
312	1062	2331
313	1063	2324
314	1065	2316
315	1067	2311
316	1071	2307
317	1074	2303
318	1075	2296
319	1077	2290
320	1079	2283
321	1081	2277
322	1084	2273
323	1086	2267
324	1088	2260
325	1090	2254
326	1091	2247
327	1093	2241
328	1099	2242
329	1101	2235
330	1103	2230
331	1105	2223
332	1107	2217
333	1111	2216
334	1113	2210
335	1115	2204
336	1117	2199
337	1119	2192
338	1122	2188
339	1125	2184
340	1127	2178
341	1129	2172
342	1131	2166
343	1132	2159
344	1136	2157
345	1138	2151
346	1140	2145
347	1142	2140
348	1144	2134
349	1145	2127
350	1148	2123
351	1150	2117
352	1152	2112
353	1154	2106
354	1155	2100
355	1160	2100
356	1162	2094
357	1164	2088
358	1166	2083
359	1168	2077
360	1170	2071
361	1173	2068
362	1175	2063
363	1177	2056
364	1179	2051
365	1182	2047
366	1185	2044
367	1187	2039
368	1189	2033
369	1192	2029
370	1194	2024
371	1195	2018
372	1198	2014
373	1200	2009
374	1202	2003
375	1204	1999
376	1206	1993
377	1208	1988
378	1210	1984
379	1212	1978
380	1219	1980
381	1220	1975
382	1222	1969
383	1224	1964
384	1226	1959
385	1229	1955
386	1231	1950
387	1232	1944
388	1234	1939
389	1237	1935
390	1239	1931
391	1242	1926
392	1244	1922
393	1246	1916
394	1247	1910
395	1250	1908
396	1252	1903
397	1254	1898
398	1257	1894
399	1259	1889
400	1261	1884
401	1266	1883
402	1268	1878
403	1269	1873
404	1272	1868
405	1273	1863
406	1275	1858
407	1280	1858
408	1282	1853
409	1284	1847
410	1285	1842
411	1290	1841
412	1294	1840
413	1296	1835
414	1298	1830
415	1300	1825
416	1301	1819
417	1304	1816
418	1306	1811
419	1308	1806
420	1310	1802
421	1312	1797
422	1315	1794
423	1317	1789
424	1318	1784
425	1320	1779
426	1322	1775
427	1325	1770
428	1327	1766
429	1329	1761
430	1332	1758
431	1334	1754
432	1337	1751
433	1340	1747
434	1343	1744
435	1344	1739
436	1346	1734
437	1348	1729
438	1350	1726
439	1352	1721
440	1356	1719
441	1359	1715
442	1361	1712
443	1365	1709
444	1367	1705
445	1369	1700
446	1371	1696
447	1372	1691
448	1376	1689
449	1380	1687
450	1382	1682
451	1384	1678
452	1386	1673
453	1389	1671
454	1393	1668
455	1394	1663
456	1396	1658
457	1398	1654
458	1400	1650
459	1402	1646
460	1404	1642
461	1407	1638
462	1409	1634
463	1414	1633
464	1415	1629
465	1420	1627
466	1423	1624
467	1429	1624
468	1430	1619
469	1432	1615
470	1434	1610
471	1436	1607
472	1439	1603
473	1440	1598
474	1442	1594
475	1444	1590
476	1446	1586
477	1450	1583
478	1453	1581
479	1455	1576
480	1456	1571
481	1467	1577
482	1469	1572
483	1471	1568
484	1473	1564
485	1477	1562
486	1480	1559
487	1482	1555
488	1484	1551
489	1486	1546
490	1493	1547
491	1495	1544
492	1498	1540
493	1499	1536
494	1505	1535
495	1507	1532
496	1509	1527
497	1511	1523
498	1513	1519
499	1517	1517
500	1519	1513
501	1521	1509
502	1523	1505
503	1525	1500
504	1530	1499
505	1531	1495
506	1533	1491
507	1536	1488
508	1538	1483
509	1541	1480
510	1543	1477
511	1545	1473
512	1547	1468
513	1549	1464
514	1551	1461
515	1554	1457
516	1556	1453
517	1557	1449
518	1559	1445
519	1562	1442
520	1567	1441
521	1569	1437
522	1571	1433
523	1574	1430
524	1577	1426
525	1581	1425
526	1583	1421
527	1585	1417
528	1587	1413
529	1592	1411
530	1594	1408
531	1596	1404
532	1598	1400
533	1599	1396
534	1603	1393
535	1606	1390
536	1608	1386
537	1610	1382
538	1611	1378
539	1613	1374
540	1618	1373
541	1620	1369
542	1622	1365
543	1624	1361
544	1626	1357
545	1629	1354
546	1633	1353
547	1635	1348
548	1637	1345
549	1639	1341
550	1641	1337
551	1645	1335
552	1647	1331
553	1649	1328
554	1651	1324
555	1653	1320
556	1657	1318
557	1660	1314
558	1662	1311
559	1663	1307
560	1665	1303
561	1669	1301
562	1672	1297
563	1673	1294
564	1675	1290
565	1677	1286
566	1679	1282
567	1681	1279
568	1683	1275
569	1685	1271
570	1687	1268
571	1689	1264
572	1694	1262
573	1696	1259
574	1698	1255
575	1700	1251
576	1702	1248
577	1704	1244
578	1708	1242
579	1710	1238
580	1712	1235
581	1714	1231
582	1719	1229
583	1722	1227
584	1724	1223
585	1726	1219
586	1728	1216
587	1731	1213
588	1735	1210
589	1736	1206
590	1739	1203
591	1741	1200
592	1745	1197
593	1748	1194
594	1749	1191
595	1752	1187
596	1753	1183
597	1756	1180
598	1760	1178
599	1762	1174
600	1764	1171
601	1766	1167
602	1768	1164
603	1774	1163
604	1776	1160
605	1779	1157
606	1782	1153
607	1786	1151
608	1788	1148
609	1790	1144
610	1792	1141
611	1797	1139
612	1799	1136
613	1801	1132
614	1803	1129
615	1805	1125
616	1810	1123
617	1812	1120
618	1815	1117
619	1816	1113
620	1818	1109
