iter	Passed	Remaining
0	186	186508
1	188	93901
2	193	64204
3	194	48477
4	196	39060
5	197	32743
6	199	28266
7	200	24876
8	201	22234
9	205	20392
10	207	18641
11	208	17197
12	210	15973
13	212	14971
14	213	14049
15	215	13258
16	219	12713
17	221	12076
18	222	11506
19	224	11022
20	226	10572
21	228	10166
22	230	9791
23	237	9669
24	240	9380
25	243	9135
26	245	8853
27	252	8766
28	256	8593
29	259	8380
30	264	8256
31	273	8270
32	277	8127
33	281	7984
34	282	7799
35	286	7685
36	290	7551
37	291	7390
38	293	7242
39	296	7125
40	298	6986
41	303	6931
42	306	6810
43	309	6728
44	311	6604
45	312	6485
46	323	6555
47	325	6454
48	328	6378
49	333	6339
50	335	6244
51	337	6152
52	339	6070
53	341	5976
54	342	5889
55	344	5800
56	348	5759
57	351	5701
58	353	5637
59	355	5575
60	365	5619
61	367	5553
62	368	5482
63	369	5411
64	371	5340
65	372	5274
66	375	5224
67	376	5163
68	378	5101
69	379	5041
70	380	4982
71	382	4924
72	383	4867
73	384	4813
74	386	4765
75	389	4737
76	391	4691
77	392	4642
78	394	4593
79	395	4546
80	396	4500
81	398	4456
82	398	4406
83	400	4363
84	404	4352
85	406	4320
86	407	4279
87	409	4239
88	410	4201
89	411	4164
90	413	4127
91	414	4090
92	417	4067
93	420	4050
94	421	4017
95	422	3983
96	424	3950
97	425	3918
98	426	3886
99	428	3854
100	429	3824
101	433	3817
102	435	3792
103	436	3764
104	438	3737
105	439	3710
106	441	3684
107	443	3660
108	444	3634
109	447	3617
110	449	3602
111	451	3577
112	452	3551
113	453	3526
114	455	3501
115	456	3477
116	457	3452
117	458	3429
118	460	3406
119	463	3396
120	464	3375
121	465	3351
122	467	3330
123	468	3309
124	469	3288
125	471	3270
126	472	3248
127	473	3228
128	475	3211
129	478	3199
130	479	3180
131	480	3160
132	481	3141
133	483	3122
134	484	3105
135	485	3086
136	487	3069
137	488	3054
138	493	3053
139	494	3036
140	495	3019
141	496	3000
142	497	2984
143	499	2967
144	500	2951
145	502	2936
146	503	2920
147	504	2905
148	507	2895
149	508	2880
150	509	2867
151	578	3224
152	580	3214
153	583	3205
154	585	3193
155	597	3233
156	600	3226
157	612	3262
158	626	3314
159	630	3311
160	632	3295
161	640	3311
162	641	3296
163	643	3280
164	646	3273
165	654	3288
166	656	3274
167	658	3259
168	659	3245
169	661	3230
170	663	3215
171	670	3227
172	672	3212
173	673	3198
174	675	3185
175	677	3172
176	684	3181
177	685	3167
178	687	3153
179	688	3138
180	690	3124
181	692	3110
182	693	3095
183	701	3111
184	703	3098
185	704	3083
186	705	3069
187	707	3056
188	709	3044
189	714	3046
190	716	3034
191	717	3020
192	719	3007
193	720	2993
194	721	2979
195	723	2966
196	724	2952
197	728	2950
198	730	2941
199	732	2930
200	734	2918
201	735	2905
202	739	2904
203	742	2895
204	743	2884
205	745	2872
206	746	2861
207	748	2849
208	749	2838
209	751	2826
210	757	2832
211	759	2821
212	760	2809
213	762	2798
214	765	2796
215	772	2802
216	774	2792
217	776	2786
218	778	2777
219	788	2797
220	794	2800
221	798	2797
222	807	2814
223	810	2806
